Classifier,Month,Year,DATE_YEAR,DATE_ID,STOCK
Rice: Total Stock,4,2009,200904,112,2478.6
Rice: Total Stock,5,2009,200905,113,2683.9
Rice: Total Stock,6,2009,200906,114,2683.4
Rice: Total Stock,7,2009,200907,115,2776.3
Rice: Total Stock,8,2009,200908,116,2380.7
Rice: Total Stock,9,2009,200909,117,2322.2
Rice: Total Stock,10,2009,200910,118,2485.3
Rice: Total Stock,11,2009,200911,119,2958.6
Rice: Total Stock,12,2009,200912,120,2897.3
Rice: Total Stock,1,2010,201001,121,2629.1
Rice: Total Stock,2,2010,201002,122,2463.3
Rice: Total Stock,3,2010,201003,123,2251.9
Rice: Total Stock,4,2010,201004,124,2773.4
Rice: Total Stock,5,2010,201005,125,3322
Rice: Total Stock,6,2010,201006,126,3357.7
Rice: Total Stock,7,2010,201007,127,3353.5
Rice: Total Stock,8,2010,201008,128,3184.2
Rice: Total Stock,9,2010,201009,129,3034
Rice: Total Stock,10,2010,201010,130,3151.1
Rice: Total Stock,11,2010,201011,131,3794.6
Rice: Total Stock,12,2010,201012,132,3908
Rice: Total Stock,1,2011,201101,133,3424.3
Rice: Total Stock,2,2011,201102,134,3049.6
Rice: Total Stock,3,2011,201103,135,2853
Rice: Total Stock,4,2011,201104,136,3080.6
Rice: Total Stock,5,2011,201105,137,3396.5
Rice: Total Stock,6,2011,201106,138,3093.6
Rice: Total Stock,7,2011,201107,139,3021.8
Rice: Total Stock,8,2011,201108,140,2720.4
Rice: Total Stock,9,2011,201109,141,2415.2
Rice: Total Stock,10,2011,201110,142,2739.2
Rice: Total Stock,11,2011,201111,143,3216.8
Rice: Total Stock,12,2011,201112,144,3097.5
Rice: Total Stock,1,2012,201201,145,2627.4
Rice: Total Stock,2,2012,201202,146,2331.4
Rice: Total Stock,3,2012,201203,147,2012.6
Rice: Total Stock,4,2012,201204,148,2637.8
Rice: Total Stock,5,2012,201205,149,2673.3
Rice: Total Stock,6,2012,201206,150,2287.31
Rice: Total Stock,7,2012,201207,151,1915.11
Rice: Total Stock,8,2012,201208,152,1616.6
Rice: Total Stock,9,2012,201209,153,1441.9
Rice: Total Stock,10,2012,201210,154,1999
Rice: Total Stock,11,2012,201211,155,2784.6
Rice: Total Stock,12,2012,201212,156,2613.2
Rice: Total Stock,1,2013,201301,157,2524.2
Rice: Total Stock,2,2013,201302,158,2023.6
Rice: Total Stock,3,2013,201303,159,1938.6
Rice: Total Stock,4,2013,201304,160,2327.6
Rice: Total Stock,5,2013,201305,161,2614.4
Rice: Total Stock,6,2013,201306,162,2313.5
Rice: Total Stock,7,2013,201307,163,2194.06
Rice: Total Stock,8,2013,201308,164,1859.5
Rice: Total Stock,9,2013,201309,165,1530.31
Rice: Total Stock,10,2013,201310,166,1771.3
Rice: Total Stock,11,2013,201311,167,2438.7
Rice: Total Stock,12,2013,201312,168,2492.9
Rice: Total Stock,1,2014,201401,169,2125.5
Rice: Total Stock,2,2014,201402,170,2003.81
Rice: Total Stock,3,2014,201403,171,1784.78
Rice: Total Stock,4,2014,201404,172,2182.48
Rice: Total Stock,5,2014,201405,173,2520.18
Rice: Total Stock,6,2014,201406,174,2306.16
Rice: Total Stock,7,2014,201407,175,2025.01
Rice: Total Stock,8,2014,201408,176,1721.78
Rice: Total Stock,9,2014,201409,177,1488.72
Rice: Total Stock,10,2014,201410,178,1805.31
Rice: Total Stock,11,2014,201411,179,2952.74
Rice: Total Stock,12,2014,201412,180,3031.53
Rice: Total Stock,1,2015,201501,181,2662.05
Rice: Total Stock,2,2015,201502,182,2350.6
Rice: Total Stock,3,2015,201503,183,2265.51
Rice: Total Stock,4,2015,201504,184,2542.68
Rice: Total Stock,5,2015,201505,185,3167.25
Rice: Total Stock,6,2015,201506,186,3019.42
Rice: Total Stock,7,2015,201507,187,2568.19
Rice: Total Stock,8,2015,201508,188,2244.38
Rice: Total Stock,9,2015,201509,189,1955.5
Rice: Total Stock,10,2015,201510,190,2196.18
Rice: Total Stock,11,2015,201511,191,3107.3
Rice: Total Stock,12,2015,201512,192,3441.41
Rice: Total Stock,1,2016,201601,193,3198.79
